provider,number_patients,predicted_deaths,provider_type,ave_age,number_deaths,smr,lower_95limit,upper_95limit,lower_99limit,upper_99limit
21,172,12.26058,0,67.76392,12,.9787461,.4402418,1.559758,.2643665,1.735633
180,247,13.89711,1,76.35218,11,.7915316,.4742323,1.525768,.3090369,1.690963
185,134,13.91483,0,68.72721,19,1.365449,.4745673,1.525433,.3094771,1.690523
265,87,14.76393,0,70.59718,20,1.354653,.4899003,1.5101,.3296277,1.670372
201,253,15.61541,2,72.66205,16,1.024629,.5040026,1.495997,.3481609,1.651839
220,135,16.51617,3,76.3131,16,.9687473,.5177177,1.482282,.3661852,1.633815
196,150,17.18149,0,94.34038,19,1.105841,.5271476,1.472852,.378578,1.621422
296,136,18.98778,1,73.70526,22,1.15864,.5502005,1.4498,.408874,1.591126
197,154,20.1046,0,69.60175,19,.9450574,.5628723,1.437128,.4255273,1.574473
5,102,21.38558,0,54.26896,21,.98197,.5761663,1.423834,.4429983,1.557002
137,276,21.98232,1,76.0605,13,.5913845,.5819585,1.418041,.4506105,1.549389
202,330,22.28021,3,68.90698,24,1.077189,.5847626,1.415237,.4542956,1.545704
34,162,22.74529,0,59.42296,28,1.231024,.5890298,1.41097,.4599035,1.540097
217,141,23.2659,3,59.01945,18,.7736644,.5936539,1.406346,.4659805,1.534019
211,164,23.61346,0,63.98245,20,.8469744,.5966554,1.403345,.4699251,1.530075
146,309,23.97603,2,68.12287,25,1.042708,.5997167,1.400283,.4739483,1.526052
199,200,24.12354,0,64.25791,22,.9119724,.6009424,1.399058,.4755591,1.524441
177,620,24.79685,1,57.84976,29,1.169503,.6063976,1.393602,.4827282,1.517272
190,216,25.10568,1,57.52525,25,.9957907,.6088259,1.391174,.4859195,1.51408
205,176,26.99848,0,65.72326,24,.888939,.6227872,1.377213,.5042675,1.495733
219,243,27.32623,2,58.89124,30,1.097846,.6250561,1.374944,.5072493,1.492751
289,166,27.43482,0,69.43935,27,.9841508,.6257989,1.374201,.5082255,1.491775
181,204,28.15117,0,52.70045,26,.9235851,.6305907,1.369409,.5145228,1.485477
147,143,29.05637,0,81.66826,18,.6194855,.6363903,1.36361,.5221447,1.477855
